mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
6	5	41/2	41/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	60								
6	5	17	17	0.0		0	0	Dynamic	2/2	2	1	0						p						
6	5	17	17	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	61								
6	5	19	19	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	62								
6	5	17	17	0.0		0	0	Dynamic	2/2	3	1	0						p						
6	5	17	17	1.0		0	0	Chord	2/2	3	1	1/4		1/4	1	63								
6	5	19	19	1.0		1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	64								
6	5	17	17	0.0		0	0	Dynamic	2/2	4	1	0						p						
6	5	17	17	1.0		0	0	Chord	2/2	4	1	1/4		1/4	1	65								
6	5	19	19	1.0		1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	66								
7	6	21	21	0.0		0	0	Chord	2/2	1	1	0	acciaccatura	1/8	1	67								
7	6	21	21	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	68								
7	6	43/2	43/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	69								
7	6	22	22	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	70								
7	6	45/2	45/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	71								
7	6	23	23	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	72								
7	6	47/2	47/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	73								
7	6	24	24	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	74								
7	6	49/2	49/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	75								
7	6	21	21	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	76								
7	6	24	24	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	77								
7	6	21	21	1.0		0	0	Chord	2/2	3	1	1/4		1/4	1	78								
7	6	24	24	1.0		3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	79								
7	6	21	21	1.0		0	0	Chord	2/2	4	1	1/4		1/4	1	80								
7	6	24	24	1.0		3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	81								
8	7	25	25	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	82								
8	7	26	26	0.0		1/4	1/4	StaffText	2/2	1	1	0							cresc.					
8	7	26	26	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	83								
8	7	27	27	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	84								
8	7	28	28	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	85								
8	7	25	25	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	86								
8	7	26	26	0.0		1/4	1/4	StaffText	2/2	2	1	0							cresc.					
8	7	26	26	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	87								
8	7	27	27	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	88								
8	7	28	28	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	89								
8	7	25	25	1.0		0	0	Chord	2/2	3	1	1/4		1/4	1	90								
8	7	26	26	0.0		1/4	1/4	StaffText	2/2	3	1	0							cresc.					
8	7	26	26	1.0		1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	91								
8	7	27	27	1.0		1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	92								
8	7	28	28	1.0		3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	93								
8	7	25	25	1.0		0	0	Chord	2/2	4	1	1/4		1/4	1	94								
8	7	26	26	0.0		1/4	1/4	StaffText	2/2	4	1	0							cresc.					
8	7	26	26	1.0		1/4	1/4	Chord	2/2	4	1	1/4		1/4	1	95								
8	7	27	27	1.0		1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	96								
8	7	28	28	1.0		3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	97								
9	8	29	29	0.0		0	0	Dynamic	2/2	1	1	0						sf						
9	8	29	29	3.0		0	0	Chord	2/2	1	1	3/4		1/2	3/2	98	v							
9	8	29	29	0.0		0	0	Dynamic	2/2	2	1	0						sf						
9	8	29	29	3.0		0	0	Chord	2/2	2	1	3/4		1/2	3/2	99								
9	8	29	29	0.0		0	0	Dynamic	2/2	3	1	0						sf						
9	8	29	29	3.0		0	0	Chord	2/2	3	1	3/4		1/2	3/2	100								
9	8	29	29	0.0		0	0	Dynamic	2/2	4	1	0						sf						
9	8	29	29	3.0		0	0	Chord	2/2	4	1	3/4		1/2	3/2	101								
10	8	32	32	0.0		0	3/4	Dynamic	2/2	1	1	0						p						
10	8	32	32	0.5		0	3/4	Chord	2/2	1	1	1/8		1/8	1	102								
10	8	65/2	65/2	0.5		1/8	7/8	Chord	2/2	1	1	1/8		1/8	1	103								
11	9	33	33	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	104								
11	9	34	34	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	105								
11	9	35	35	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	106								
11	9	36	36	0.0		3/4	3/4	Dynamic	2/2	1	1	0						sf						
11	9	36	36	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	107								
11	9	33	33	0.0		0	0	Dynamic	2/2	2	1	0						p						
11	9	33	33	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	108								
11	9	34	34	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	109								
11	9	35	35	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	110								
11	9	36	36	0.0		3/4	3/4	Dynamic	2/2	2	1	0						sf						
11	9	36	36	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	111								
11	9	33	33	0.0		0	0	Dynamic	2/2	3	1	0						p						
11	9	33	33	1.0		0	0	Chord	2/2	3	1	1/4		1/4	1	112								
11	9	35	35	1.0		1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	113								
11	9	33	33	0.0		0	0	Dynamic	2/2	4	1	0						p						
11	9	33	33	1.0		0	0	Chord	2/2	4	1	1/4		1/4	1	114								
11	9	35	35	1.0		1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	115								
12	10	37	37	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	116								
12	10	38	38	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	117								
12	10	39	39	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	118								
12	10	40	40	0.0		3/4	3/4	Dynamic	2/2	1	1	0						sf						
12	10	40	40	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	119								
12	10	37	37	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	120								
12	10	38	38	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	121								
12	10	39	39	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	122								
12	10	40	40	0.0		3/4	3/4	Dynamic	2/2	2	1	0						sf						
12	10	40	40	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	123								
12	10	37	37	1.0		0	0	Chord	2/2	3	1	1/4		1/4	1	124								
12	10	39	39	1.0		1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	125								
12	10	37	37	1.0		0	0	Chord	2/2	4	1	1/4		1/4	1	126								
12	10	39	39	1.0		1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	127								
13	11	41	41	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	128								
13	11	42	42	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	129								
13	11	85/2	85/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	130								
13	11	43	43	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	131								
13	11	44	44	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	132								
13	11	41	41	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	133								
13	11	42	42	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	134								
13	11	85/2	85/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	135								
13	11	43	43	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	136								
13	11	44	44	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	137								
13	11	41	41	1.0		0	0	Chord	2/2	3	1	1/4		1/4	1	138								
13	11	43	43	1.0		1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	139								
13	11	41	41	1.0		0	0	Chord	2/2	4	1	1/4		1/4	1	140								
13	11	43	43	1.0		1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	141								
14	12	45	45	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	142								
14	12	46	46	2.0		1/4	1/4	Chord	2/2	1	1	1/2		1/2	1	143								
14	12	48	48	0.0		3/4	3/4	Dynamic	2/2	1	1	0						p						
14	12	48	48	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	144								
14	12	97/2	97/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	145								
14	12	45	45	3.0		0	0	Chord	2/2	2	1	3/4		1/2	3/2	146								
14	12	45	45	1.0		0	0	Chord	2/2	3	1	1/4		1/4	1	147								
14	12	46	46	2.0		1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	148								
14	12	45	45	3.0		0	0	Chord	2/2	4	1	3/4		1/2	3/2	149								
15	13	49	49	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	150								
15	13	99/2	99/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	151								
15	13	50	50	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	152								
15	13	101/2	101/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	153								
15	13	51	51	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	154								
15	13	103/2	103/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	155								
15	13	52	52	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	156								
15	13	105/2	105/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	157								
15	13	49	49	0.0		0	0	Dynamic	2/2	2	1	0						p						
15	13	49	49	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	158								
15	13	51	51	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	159								
15	13	49	49	0.0		0	0	Dynamic	2/2	3	1	0						p						
15	13	49	49	1.0		0	0	Chord	2/2	3	1	1/4		1/4	1	160								
15	13	51	51	1.0		1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	161								
15	13	49	49	0.0		0	0	Dynamic	2/2	4	1	0						p						
15	13	49	49	1.0		0	0	Chord	2/2	4	1	1/4		1/4	1	162								
15	13	51	51	1.0		1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	163								
16	14	53	53	0.0		0	0	StaffText	2/2	1	1	0							cresc.					
16	14	53	53	0.0		0	0	Chord	2/2	1	1	0	acciaccatura	1/8	1	164								
16	14	53	53	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	165								
16	14	107/2	107/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	166								
16	14	54	54	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	167								
16	14	109/2	109/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	168								
16	14	55	55	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	169								
16	14	111/2	111/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	170								
16	14	56	56	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	171								
16	14	113/2	113/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	172								
16	14	53	53	0.0		0	0	StaffText	2/2	2	1	0							cresc.					
16	14	53	53	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	173								
16	14	54	54	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	174								
16	14	55	55	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	175								
16	14	56	56	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	176								
16	14	53	53	0.0		0	0	StaffText	2/2	3	1	0							cresc.					
16	14	53	53	1.0		0	0	Chord	2/2	3	1	1/4		1/4	1	177								
16	14	54	54	1.0		1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	178								
16	14	55	55	1.0		1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	179								
16	14	56	56	1.0		3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	180								
16	14	53	53	0.0		0	0	StaffText	2/2	4	1	0							cresc.					
16	14	53	53	1.0		0	0	Chord	2/2	4	1	1/4		1/4	1	181								
16	14	54	54	1.0		1/4	1/4	Chord	2/2	4	1	1/4		1/4	1	182								
16	14	55	55	1.0		1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	183								
16	14	56	56	1.0		3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	184								
17	15	57	57	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	185								
17	15	58	58	0.0		1/4	1/4	Dynamic	2/2	1	1	0						f						
17	15	58	58	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	186								
17	15	59	59	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	187								
17	15	60	60	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	188								
17	15	57	57	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	189								
17	15	58	58	0.0		1/4	1/4	Dynamic	2/2	2	1	0						f						
17	15	58	58	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	190								
17	15	59	59	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	191								
17	15	60	60	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	192								
17	15	57	57	1.0		0	0	Chord	2/2	3	1	1/4		1/4	1	193								
17	15	58	58	0.0		1/4	1/4	Dynamic	2/2	3	1	0						f						
17	15	58	58	1.0		1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	194								
17	15	59	59	1.0		1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	195								
17	15	60	60	1.0		3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	196								
17	15	57	57	1.0		0	0	Chord	2/2	4	1	1/4		1/4	1	197								
17	15	58	58	0.0		1/4	1/4	Dynamic	2/2	4	1	0						f						
17	15	58	58	1.0		1/4	1/4	Chord	2/2	4	1	1/4		1/4	1	198								
17	15	59	59	1.0		1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	199								
17	15	60	60	1.0		3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	200								
18	16	61	61	3.0		0	0	Chord	2/2	1	1	3/4		1/2	3/2	201								
18	16	61	61	3.0		0	0	Chord	2/2	2	1	3/4		1/2	3/2	202								
18	16	61	61	3.0		0	0	Chord	2/2	3	1	3/4		1/2	3/2	203								
18	16	61	61	3.0		0	0	Chord	2/2	4	1	3/4		1/2	3/2	204								
19	16	64	64	0.0		0	3/4	Dynamic	2/2	2	1	0						p						
19	16	64	64	1.0		0	3/4	Chord	2/2	2	1	1/4		1/4	1	205								
20	17	65	65	0.0		0	0	Dynamic	2/2	1	1	0						p						
20	17	65	65	4.0		0	0	Chord	2/2	1	1	1		1	1	206								
20	17	65	65	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	207								
20	17	67	67	2.0		1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	208								
20	17	65	65	0.0		0	0	Dynamic	2/2	3	1	0						p						
20	17	65	65	4.0		0	0	Chord	2/2	3	1	1		1	1	209								
20	17	65	65	0.0		0	0	Dynamic	2/2	4	1	0						p						
20	17	65	65	4.0		0	0	Chord	2/2	4	1	1		1	1	210								
21	18	69	69	4.0		0	0	Chord	2/2	1	1	1		1	1	211								
21	18	69	69	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	212								
21	18	70	70	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	213								
21	18	71	71	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	214								
21	18	72	72	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	215								
21	18	69	69	4.0		0	0	Chord	2/2	3	1	1		1	1	216								
21	18	69	69	4.0		0	0	Chord	2/2	4	1	1		1	1	217								
22	19	73	73	2.0		0	0	Chord	2/2	1	1	1/2		1/2	1	218								
22	19	75	75	2.0		1/2	1/2	Chord	2/2	1	1	1/2		1/2	1	219								
22	19	73	73	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	220								
22	19	74	74	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	221								
22	19	75	75	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	222								
22	19	76	76	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	223								
22	19	73	73	2.0		0	0	Chord	2/2	3	1	1/2		1/2	1	224								
22	19	75	75	2.0		1/2	1/2	Chord	2/2	3	1	1/2		1/2	1	225								
22	19	73	73	2.0		0	0	Chord	2/2	4	1	1/2		1/2	1	226								
22	19	75	75	2.0		1/2	1/2	Chord	2/2	4	1	1/2		1/2	1	227								
23	20	77	77	2.0		0	0	Chord	2/2	1	1	1/2		1/2	1	228								
23	20	79	79	2.0		1/2	1/2	Chord	2/2	1	1	1/2		1/2	1	229								
23	20	77	77	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	230								
23	20	79	79	2.0		1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	231								
23	20	77	77	2.0		0	0	Chord	2/2	3	1	1/2		1/2	1	232								
23	20	79	79	2.0		1/2	1/2	Chord	2/2	3	1	1/2		1/2	1	233								
23	20	77	77	2.0		0	0	Chord	2/2	4	1	1/2		1/2	1	234								
23	20	79	79	2.0		1/2	1/2	Chord	2/2	4	1	1/2		1/2	1	235								
24	21	81	81	2.0		0	0	Chord	2/2	1	1	1/2		1/2	1	236								
24	21	83	83	2.0		1/2	1/2	Chord	2/2	1	1	1/2		1/2	1	237								
24	21	81	81	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	238								
24	21	83	83	2.0		1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	239								
24	21	81	81	2.0		0	0	Chord	2/2	3	1	1/2		1/2	1	240								
24	21	83	83	2.0		1/2	1/2	Chord	2/2	3	1	1/2		1/2	1	241								
24	21	81	81	2.0		0	0	Chord	2/2	4	1	1/2		1/2	1	242								
24	21	83	83	2.0		1/2	1/2	Chord	2/2	4	1	1/2		1/2	1	243								
25	22	85	85	2.0		0	0	Chord	2/2	1	1	1/2		1/2	1	244								
25	22	87	87	2.0		1/2	1/2	Chord	2/2	1	1	1/2		1/2	1	245								
25	22	85	85	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	246								
25	22	87	87	2.0		1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	247								
25	22	85	85	2.0		0	0	Chord	2/2	3	1	1/2		1/2	1	248								
25	22	87	87	2.0		1/2	1/2	Chord	2/2	3	1	1/2		1/2	1	249								
25	22	85	85	2.0		0	0	Chord	2/2	4	1	1/2		1/2	1	250								
25	22	87	87	2.0		1/2	1/2	Chord	2/2	4	1	1/2		1/2	1	251								
26	23	89	89	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	252								
26	23	90	90	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	253								
26	23	91	91	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	254								
26	23	92	92	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	255								
26	23	89	89	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	256								
26	23	90	90	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	257								
26	23	91	91	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	258								
26	23	92	92	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	259								
26	23	89	89	1.0		0	0	Chord	2/2	3	1	1/4		1/4	1	260								
26	23	90	90	1.0		1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	261								
26	23	91	91	1.0		1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	262								
26	23	92	92	1.0		3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	263								
26	23	89	89	2.0		0	0	Chord	2/2	4	1	1/2		1/2	1	264								
26	23	91	91	2.0		1/2	1/2	Chord	2/2	4	1	1/2		1/2	1	265								
27	24	93	93	2.0		0	0	Chord	2/2	1	1	1/2		1/2	1	266								
27	24	95	95	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	267								
